ENSCAFP00000014731	ENSLOCP00000009128
ENSCAFP00000004893	ENSLOCP00000003817
ENSCAFP00000000536	ENSLOCP00000021014
ENSCAFP00000026820	ENSLOCP00000007725
ENSCAFP00000014703	ENSLOCP00000009060
ENSCAFP00000027009	ENSLOCP00000011472
ENSCAFP00000014101	ENSLOCP00000009147
ENSCAFP00000010599	ENSLOCP00000020429
ENSCAFP00000041478	ENSLOCP00000019200
ENSCAFP00000011228	ENSLOCP00000007780
ENSCAFP00000025792	ENSLOCP00000017232
ENSCAFP00000025906	ENSLOCP00000018831
ENSCAFP00000020532	ENSLOCP00000009530
ENSCAFP00000000844	ENSLOCP00000020825
ENSCAFP00000019636	ENSLOCP00000005280
ENSCAFP00000008815	ENSLOCP00000013773
ENSCAFP00000012433	ENSLOCP00000010078
ENSCAFP00000022926	ENSLOCP00000007610
ENSCAFP00000015206	ENSLOCP00000002487
ENSCAFP00000003668	ENSLOCP00000020267
ENSCAFP00000003657	ENSLOCP00000020273
ENSCAFP00000007426	ENSLOCP00000019319
ENSCAFP00000035869	ENSLOCP00000007649
ENSCAFP00000041440	ENSLOCP00000019175
ENSCAFP00000026713	ENSLOCP00000012015
ENSCAFP00000028894	ENSLOCP00000001624
ENSCAFP00000010159	ENSLOCP00000001262
ENSCAFP00000027741	ENSLOCP00000007089
ENSCAFP00000025741	ENSLOCP00000017180
ENSCAFP00000023060	ENSLOCP00000005887
ENSCAFP00000029957	ENSLOCP00000005999
ENSCAFP00000007014	ENSLOCP00000020663
ENSCAFP00000001849	ENSLOCP00000014860
ENSCAFP00000025988	ENSLOCP00000017952
ENSCAFP00000029580	ENSLOCP00000008038
ENSCAFP00000027190	ENSLOCP00000010721
ENSCAFP00000032029	ENSLOCP00000002259
ENSCAFP00000012523	ENSLOCP00000021479
ENSCAFP00000012528	ENSLOCP00000002287
ENSCAFP00000012512	ENSLOCP00000002248
ENSCAFP00000021250	ENSLOCP00000021874
ENSCAFP00000014319	ENSLOCP00000009980
ENSCAFP00000038033	ENSLOCP00000014738
ENSCAFP00000025582	ENSLOCP00000012061
ENSCAFP00000019089	ENSLOCP00000003317
ENSCAFP00000035150	ENSLOCP00000011989
ENSCAFP00000003298	ENSLOCP00000017354
ENSCAFP00000002012	ENSLOCP00000012353
ENSCAFP00000024610	ENSLOCP00000004132
ENSCAFP00000012157	ENSLOCP00000006157
ENSCAFP00000024137	ENSLOCP00000018214
ENSCAFP00000027297	ENSLOCP00000005255
ENSCAFP00000018115	ENSLOCP00000007900
ENSCAFP00000015735	ENSLOCP00000015688
ENSCAFP00000017392	ENSLOCP00000010023
ENSCAFP00000030690	ENSLOCP00000004830
ENSCAFP00000018258	ENSLOCP00000020756
ENSCAFP00000025261	ENSLOCP00000013047
ENSCAFP00000011525	ENSLOCP00000016356
ENSCAFP00000012786	ENSLOCP00000009007
ENSCAFP00000000688	ENSLOCP00000012360
ENSCAFP00000004119	ENSLOCP00000014277
ENSCAFP00000037844	ENSLOCP00000007849
ENSCAFP00000019894	ENSLOCP00000008437
ENSCAFP00000004239	ENSLOCP00000014423
ENSCAFP00000041229	ENSLOCP00000020956
ENSCAFP00000039048	ENSLOCP00000015752
ENSCAFP00000025974	ENSLOCP00000013775
ENSCAFP00000000191	ENSLOCP00000004341
ENSCAFP00000016481	ENSLOCP00000017705
ENSCAFP00000011295	ENSLOCP00000011055
ENSCAFP00000041377	ENSLOCP00000010892
ENSCAFP00000011055	ENSLOCP00000001142
ENSCAFP00000037675	ENSLOCP00000007583
ENSCAFP00000028469	ENSLOCP00000006346
ENSCAFP00000005175	ENSLOCP00000000889
ENSCAFP00000000678	ENSLOCP00000020036
