ENSMGAP00000004951	ENSMUSP00000034074
ENSMGAP00000003068	ENSMUSP00000037172
ENSMGAP00000016060	ENSMUSP00000127603
ENSMGAP00000013265	ENSMUSP00000040217
ENSMGAP00000010739	ENSMUSP00000025288
ENSMGAP00000004925	ENSMUSP00000105282
ENSMGAP00000003978	ENSMUSP00000018989
ENSMGAP00000003388	ENSMUSP00000018466
ENSMGAP00000002654	ENSMUSP00000014505
ENSMGAP00000002402	ENSMUSP00000035203
ENSMGAP00000009217	ENSMUSP00000111103
ENSMGAP00000001572	ENSMUSP00000029128
ENSMGAP00000003900	ENSMUSP00000033610
ENSMGAP00000015491	ENSMUSP00000015484
ENSMGAP00000013487	ENSMUSP00000024565
ENSMGAP00000016149	ENSMUSP00000032781
ENSMGAP00000018471	ENSMUSP00000133649
ENSMGAP00000000276	ENSMUSP00000054412
ENSMGAP00000000909	ENSMUSP00000045511
ENSMGAP00000000973	ENSMUSP00000075235
ENSMGAP00000015435	ENSMUSP00000024829
ENSMGAP00000002277	ENSMUSP00000124647
ENSMGAP00000010566	ENSMUSP00000035246
ENSMGAP00000010545	ENSMUSP00000069495
ENSMGAP00000017561	ENSMUSP00000111483
ENSMGAP00000001323	ENSMUSP00000034840
ENSMGAP00000018658	ENSMUSP00000110574
ENSMGAP00000000941	ENSMUSP00000073268
ENSMGAP00000017353	ENSMUSP00000082710
ENSMGAP00000014132	ENSMUSP00000021706
ENSMGAP00000003168	ENSMUSP00000130759
ENSMGAP00000000271	ENSMUSP00000028311
ENSMGAP00000010789	ENSMUSP00000004949
ENSMGAP00000013478	ENSMUSP00000017530
ENSMGAP00000010388	ENSMUSP00000096248
ENSMGAP00000011657	ENSMUSP00000005064
ENSMGAP00000005618	ENSMUSP00000124863
ENSMGAP00000016332	ENSMUSP00000079306
ENSMGAP00000005019	ENSMUSP00000027961
ENSMGAP00000000922	ENSMUSP00000025217
ENSMGAP00000003400	ENSMUSP00000027494
ENSMGAP00000004974	ENSMUSP00000070606
ENSMGAP00000000263	ENSMUSP00000090790
ENSMGAP00000004440	ENSMUSP00000104363
ENSMGAP00000011375	ENSMUSP00000059272
ENSMGAP00000015477	ENSMUSP00000042715
ENSMGAP00000015641	ENSMUSP00000114020
ENSMGAP00000012633	ENSMUSP00000084462
ENSMGAP00000004973	ENSMUSP00000020679
ENSMGAP00000005906	ENSMUSP00000099608
ENSMGAP00000012790	ENSMUSP00000038922
ENSMGAP00000005521	ENSMUSP00000089212
ENSMGAP00000013787	ENSMUSP00000019516
ENSMGAP00000005425	ENSMUSP00000047308
ENSMGAP00000006584	ENSMUSP00000015858
ENSMGAP00000010970	ENSMUSP00000023762
ENSMGAP00000004536	ENSMUSP00000120598
ENSMGAP00000017297	ENSMUSP00000064556
ENSMGAP00000013514	ENSMUSP00000021682
ENSMGAP00000006458	ENSMUSP00000059666
ENSMGAP00000010640	ENSMUSP00000101004
ENSMGAP00000010940	ENSMUSP00000031841
ENSMGAP00000009863	ENSMUSP00000099733
ENSMGAP00000014406	ENSMUSP00000103815
