ENSMGAP00000004951	ENSMODP00000016222
ENSMGAP00000003068	ENSMODP00000022186
ENSMGAP00000016060	ENSMODP00000018180
ENSMGAP00000000132	ENSMODP00000006413
ENSMGAP00000013265	ENSMODP00000021006
ENSMGAP00000013498	ENSMODP00000020505
ENSMGAP00000013498	ENSMODP00000024085
ENSMGAP00000010739	ENSMODP00000012374
ENSMGAP00000004925	ENSMODP00000016247
ENSMGAP00000002621	ENSMODP00000009976
ENSMGAP00000011180	ENSMODP00000024314
ENSMGAP00000003978	ENSMODP00000023878
ENSMGAP00000015197	ENSMODP00000002624
ENSMGAP00000003388	ENSMODP00000020244
ENSMGAP00000002654	ENSMODP00000028608
ENSMGAP00000002402	ENSMODP00000015454
ENSMGAP00000009217	ENSMODP00000019742
ENSMGAP00000002648	ENSMODP00000023074
ENSMGAP00000009326	ENSMODP00000002660
ENSMGAP00000012078	ENSMODP00000008476
ENSMGAP00000007525	ENSMODP00000005540
ENSMGAP00000001572	ENSMODP00000003267
ENSMGAP00000010575	ENSMODP00000011631
ENSMGAP00000015491	ENSMODP00000026393
ENSMGAP00000013487	ENSMODP00000010124
ENSMGAP00000016149	ENSMODP00000003331
ENSMGAP00000000415	ENSMODP00000020165
ENSMGAP00000000909	ENSMODP00000001568
ENSMGAP00000000973	ENSMODP00000020576
ENSMGAP00000015435	ENSMODP00000026284
ENSMGAP00000002277	ENSMODP00000016589
ENSMGAP00000010566	ENSMODP00000028394
ENSMGAP00000010545	ENSMODP00000000677
ENSMGAP00000001323	ENSMODP00000036724
ENSMGAP00000007436	ENSMODP00000023578
ENSMGAP00000018658	ENSMODP00000020923
ENSMGAP00000011060	ENSMODP00000024842
ENSMGAP00000000941	ENSMODP00000020567
ENSMGAP00000015605	ENSMODP00000000005
ENSMGAP00000017353	ENSMODP00000003305
ENSMGAP00000014132	ENSMODP00000016701
ENSMGAP00000003168	ENSMODP00000030326
ENSMGAP00000000271	ENSMODP00000021625
ENSMGAP00000010789	ENSMODP00000024756
ENSMGAP00000013478	ENSMODP00000024090
ENSMGAP00000010388	ENSMODP00000034686
ENSMGAP00000000840	ENSMODP00000019536
ENSMGAP00000011657	ENSMODP00000000916
ENSMGAP00000005618	ENSMODP00000001331
ENSMGAP00000016332	ENSMODP00000005916
ENSMGAP00000005019	ENSMODP00000021116
ENSMGAP00000000922	ENSMODP00000015137
ENSMGAP00000017433	ENSMODP00000021051
ENSMGAP00000004974	ENSMODP00000011243
ENSMGAP00000000263	ENSMODP00000006081
ENSMGAP00000004440	ENSMODP00000017560
ENSMGAP00000011375	ENSMODP00000026601
ENSMGAP00000015477	ENSMODP00000037658
ENSMGAP00000009720	ENSMODP00000014612
ENSMGAP00000015641	ENSMODP00000000679
ENSMGAP00000012633	ENSMODP00000025796
ENSMGAP00000004973	ENSMODP00000010442
ENSMGAP00000005906	ENSMODP00000016379
ENSMGAP00000012790	ENSMODP00000008107
ENSMGAP00000005521	ENSMODP00000010998
ENSMGAP00000014885	ENSMODP00000019519
ENSMGAP00000013787	ENSMODP00000011474
ENSMGAP00000010708	ENSMODP00000009649
ENSMGAP00000005425	ENSMODP00000010914
ENSMGAP00000006584	ENSMODP00000023478
ENSMGAP00000004536	ENSMODP00000004541
ENSMGAP00000017297	ENSMODP00000003832
ENSMGAP00000013514	ENSMODP00000006867
ENSMGAP00000002404	ENSMODP00000000092
ENSMGAP00000006458	ENSMODP00000000179
ENSMGAP00000010640	ENSMODP00000006523
ENSMGAP00000010940	ENSMODP00000000959
ENSMGAP00000009863	ENSMODP00000012028
ENSMGAP00000014406	ENSMODP00000029754
ENSMGAP00000007874	ENSMODP00000012160
ENSMGAP00000014447	ENSMODP00000022102
ENSMGAP00000009216	ENSMODP00000016495
ENSMGAP00000006576	ENSMODP00000024060
ENSMGAP00000002105	ENSMODP00000014171
ENSMGAP00000000989	ENSMODP00000015986
ENSMGAP00000001972	ENSMODP00000003492
ENSMGAP00000014828	ENSMODP00000013925
ENSMGAP00000012273	ENSMODP00000007364
ENSMGAP00000002149	ENSMODP00000007623
ENSMGAP00000006010	ENSMODP00000002626
ENSMGAP00000006655	ENSMODP00000030239
ENSMGAP00000008809	ENSMODP00000013412
ENSMGAP00000011192	ENSMODP00000037068
ENSMGAP00000007478	ENSMODP00000015720
ENSMGAP00000017442	ENSMODP00000000761
ENSMGAP00000000569	ENSMODP00000013478
ENSMGAP00000011996	ENSMODP00000036453
ENSMGAP00000015040	ENSMODP00000028839
ENSMGAP00000007423	ENSMODP00000024298
ENSMGAP00000015017	ENSMODP00000011108
ENSMGAP00000009294	ENSMODP00000029024
ENSMGAP00000009228	ENSMODP00000007844
ENSMGAP00000013335	ENSMODP00000034167
ENSMGAP00000014950	ENSMODP00000019696
ENSMGAP00000001910	ENSMODP00000021361
ENSMGAP00000004502	ENSMODP00000025206
ENSMGAP00000004061	ENSMODP00000014344
ENSMGAP00000009429	ENSMODP00000016010
ENSMGAP00000014704	ENSMODP00000022856
ENSMGAP00000001781	ENSMODP00000011376
ENSMGAP00000001755	ENSMODP00000014984
ENSMGAP00000000418	ENSMODP00000020886
ENSMGAP00000007539	ENSMODP00000013331
ENSMGAP00000011139	ENSMODP00000017273
ENSMGAP00000017915	ENSMODP00000013863
ENSMGAP00000011894	ENSMODP00000036044
ENSMGAP00000003014	ENSMODP00000017182
ENSMGAP00000015236	ENSMODP00000022560
ENSMGAP00000003757	ENSMODP00000006951
ENSMGAP00000010071	ENSMODP00000013900
ENSMGAP00000009399	ENSMODP00000017320
ENSMGAP00000008128	ENSMODP00000002540
ENSMGAP00000007518	ENSMODP00000025996
ENSMGAP00000014040	ENSMODP00000016389
ENSMGAP00000010374	ENSMODP00000000402
ENSMGAP00000001944	ENSMODP00000002182
ENSMGAP00000016788	ENSMODP00000009150
ENSMGAP00000002878	ENSMODP00000019074
ENSMGAP00000002860	ENSMODP00000019101
ENSMGAP00000000231	ENSMODP00000016852
ENSMGAP00000019713	ENSMODP00000018745
ENSMGAP00000005399	ENSMODP00000026029
ENSMGAP00000013813	ENSMODP00000003122
ENSMGAP00000001795	ENSMODP00000013464
ENSMGAP00000012130	ENSMODP00000004044
ENSMGAP00000005494	ENSMODP00000007893
ENSMGAP00000006701	ENSMODP00000021412
ENSMGAP00000010996	ENSMODP00000023606
