ENSORLP00000017023	ENSMUSP00000034074
ENSORLP00000018100	ENSMUSP00000037172
ENSORLP00000011872	ENSMUSP00000037172
ENSORLP00000019139	ENSMUSP00000040217
ENSORLP00000021204	ENSMUSP00000025288
ENSORLP00000017158	ENSMUSP00000105282
ENSORLP00000011600	ENSMUSP00000018989
ENSORLP00000018033	ENSMUSP00000018466
ENSORLP00000014071	ENSMUSP00000014505
ENSORLP00000024532	ENSMUSP00000111103
ENSORLP00000003595	ENSMUSP00000029128
ENSORLP00000001741	ENSMUSP00000033610
ENSORLP00000002049	ENSMUSP00000015484
ENSORLP00000025526	ENSMUSP00000054412
ENSORLP00000003018	ENSMUSP00000045511
ENSORLP00000016722	ENSMUSP00000075235
ENSORLP00000025748	ENSMUSP00000024829
ENSORLP00000005821	ENSMUSP00000035246
ENSORLP00000005856	ENSMUSP00000069495
ENSORLP00000007952	ENSMUSP00000073268
ENSORLP00000001368	ENSMUSP00000082710
ENSORLP00000024257	ENSMUSP00000021706
ENSORLP00000003220	ENSMUSP00000028311
ENSORLP00000020860	ENSMUSP00000028311
ENSORLP00000001290	ENSMUSP00000004949
ENSORLP00000005579	ENSMUSP00000017530
ENSORLP00000008446	ENSMUSP00000096248
ENSORLP00000002593	ENSMUSP00000096248
ENSORLP00000008437	ENSMUSP00000124863
ENSORLP00000011200	ENSMUSP00000124863
ENSORLP00000008651	ENSMUSP00000097747
ENSORLP00000015785	ENSMUSP00000027961
ENSORLP00000020633	ENSMUSP00000027494
ENSORLP00000011714	ENSMUSP00000104363
ENSORLP00000007515	ENSMUSP00000051353
ENSORLP00000000443	ENSMUSP00000082115
ENSORLP00000023088	ENSMUSP00000020679
ENSORLP00000018127	ENSMUSP00000099608
ENSORLP00000003515	ENSMUSP00000038922
ENSORLP00000015272	ENSMUSP00000019516
ENSORLP00000006561	ENSMUSP00000138819
ENSORLP00000003243	ENSMUSP00000015858
ENSORLP00000013178	ENSMUSP00000015858
ENSORLP00000021323	ENSMUSP00000028426
ENSORLP00000021828	ENSMUSP00000120598
ENSORLP00000020822	ENSMUSP00000021682
