ENSGALP00000006197	ENSCAFP00000014731
ENSGALP00000003140	ENSCAFP00000004893
ENSGALP00000027652	ENSCAFP00000021101
ENSGALP00000024336	ENSCAFP00000026820
ENSGALP00000006178	ENSCAFP00000014703
ENSGALP00000003417	ENSCAFP00000027009
ENSGALP00000006527	ENSCAFP00000014101
ENSGALP00000013423	ENSCAFP00000010599
ENSGALP00000035505	ENSCAFP00000016175
ENSGALP00000042226	ENSCAFP00000041478
ENSGALP00000023699	ENSCAFP00000019851
ENSGALP00000017457	ENSCAFP00000041897
ENSGALP00000002938	ENSCAFP00000011228
ENSGALP00000013077	ENSCAFP00000025792
ENSGALP00000010835	ENSCAFP00000025906
ENSGALP00000026172	ENSCAFP00000020532
ENSGALP00000022178	ENSCAFP00000000844
ENSGALP00000027810	ENSCAFP00000006503
ENSGALP00000025475	ENSCAFP00000004514
ENSGALP00000025476	ENSCAFP00000019636
ENSGALP00000009477	ENSCAFP00000008815
ENSGALP00000015078	ENSCAFP00000012433
ENSGALP00000005964	ENSCAFP00000022926
ENSGALP00000025999	ENSCAFP00000015206
ENSGALP00000010976	ENSCAFP00000018010
ENSGALP00000016167	ENSCAFP00000003668
ENSGALP00000016163	ENSCAFP00000003657
ENSGALP00000042824	ENSCAFP00000028428
ENSGALP00000039322	ENSCAFP00000026110
ENSGALP00000010845	ENSCAFP00000007426
ENSGALP00000006027	ENSCAFP00000035869
ENSGALP00000016021	ENSCAFP00000041440
ENSGALP00000018553	ENSCAFP00000026713
ENSGALP00000014649	ENSCAFP00000028894
ENSGALP00000012873	ENSCAFP00000010159
ENSGALP00000006340	ENSCAFP00000027741
ENSGALP00000041588	ENSCAFP00000016670
ENSGALP00000012927	ENSCAFP00000025741
ENSGALP00000002836	ENSCAFP00000028253
ENSGALP00000007730	ENSCAFP00000023060
ENSGALP00000019120	ENSCAFP00000023616
ENSGALP00000001474	ENSCAFP00000029957
ENSGALP00000010718	ENSCAFP00000007014
ENSGALP00000003717	ENSCAFP00000001849
ENSGALP00000006447	ENSCAFP00000025988
ENSGALP00000005150	ENSCAFP00000029580
ENSGALP00000007847	ENSCAFP00000027190
ENSGALP00000042836	ENSCAFP00000021251
ENSGALP00000032312	ENSCAFP00000032029
ENSGALP00000016886	ENSCAFP00000012523
ENSGALP00000016883	ENSCAFP00000012527
ENSGALP00000016882	ENSCAFP00000012528
ENSGALP00000016891	ENSCAFP00000012512
ENSGALP00000026119	ENSCAFP00000021250
ENSGALP00000026960	ENSCAFP00000014319
ENSGALP00000041360	ENSCAFP00000038033
ENSGALP00000005960	ENSCAFP00000025582
ENSGALP00000006776	ENSCAFP00000019089
ENSGALP00000035831	ENSCAFP00000035150
ENSGALP00000008354	ENSCAFP00000003298
ENSGALP00000000103	ENSCAFP00000002012
ENSGALP00000008273	ENSCAFP00000003277
ENSGALP00000023528	ENSCAFP00000015735
ENSGALP00000017712	ENSCAFP00000017392
ENSGALP00000009966	ENSCAFP00000012144
ENSGALP00000004991	ENSCAFP00000030690
ENSGALP00000015926	ENSCAFP00000018258
ENSGALP00000016880	ENSCAFP00000025261
ENSGALP00000009004	ENSCAFP00000011525
ENSGALP00000009685	ENSCAFP00000000688
ENSGALP00000042528	ENSCAFP00000028846
ENSGALP00000017856	ENSCAFP00000004119
ENSGALP00000032649	ENSCAFP00000019894
ENSGALP00000025114	ENSCAFP00000041229
ENSGALP00000014101	ENSCAFP00000039048
ENSGALP00000042998	ENSCAFP00000025974
ENSGALP00000021550	ENSCAFP00000017436
ENSGALP00000011134	ENSCAFP00000016481
ENSGALP00000041611	ENSCAFP00000011295
ENSGALP00000036527	ENSCAFP00000041377
ENSGALP00000042464	ENSCAFP00000011055
ENSGALP00000002638	ENSCAFP00000037675
ENSGALP00000009200	ENSCAFP00000028469
ENSGALP00000016547	ENSCAFP00000000678
ENSGALP00000021543	ENSCAFP00000004185
