ENSGALP00000006197	ENSACAP00000005936
ENSGALP00000003140	ENSACAP00000017014
ENSGALP00000027652	ENSACAP00000000964
ENSGALP00000007499	ENSACAP00000013370
ENSGALP00000006308	ENSACAP00000005194
ENSGALP00000024336	ENSACAP00000001737
ENSGALP00000006178	ENSACAP00000013552
ENSGALP00000002175	ENSACAP00000003212
ENSGALP00000013518	ENSACAP00000019299
ENSGALP00000024624	ENSACAP00000011250
ENSGALP00000006527	ENSACAP00000011817
ENSGALP00000025791	ENSACAP00000016107
ENSGALP00000013423	ENSACAP00000005957
ENSGALP00000014051	ENSACAP00000014027
ENSGALP00000035505	ENSACAP00000008269
ENSGALP00000042226	ENSACAP00000008564
ENSGALP00000010474	ENSACAP00000009531
ENSGALP00000005074	ENSACAP00000007380
ENSGALP00000017457	ENSACAP00000003299
ENSGALP00000041254	ENSACAP00000014328
ENSGALP00000002938	ENSACAP00000009158
ENSGALP00000013077	ENSACAP00000001723
ENSGALP00000003834	ENSACAP00000006548
ENSGALP00000026172	ENSACAP00000014601
ENSGALP00000022178	ENSACAP00000005110
ENSGALP00000027810	ENSACAP00000014675
ENSGALP00000025475	ENSACAP00000014993
ENSGALP00000025476	ENSACAP00000017344
ENSGALP00000009477	ENSACAP00000012678
ENSGALP00000015078	ENSACAP00000015321
ENSGALP00000023036	ENSACAP00000011594
ENSGALP00000005964	ENSACAP00000015067
ENSGALP00000025999	ENSACAP00000003045
ENSGALP00000010976	ENSACAP00000002376
ENSGALP00000016167	ENSACAP00000015078
ENSGALP00000016163	ENSACAP00000014992
ENSGALP00000042824	ENSACAP00000016695
ENSGALP00000039322	ENSACAP00000005988
ENSGALP00000010845	ENSACAP00000007603
ENSGALP00000013128	ENSACAP00000002119
ENSGALP00000041979	ENSACAP00000023193
ENSGALP00000017721	ENSACAP00000010068
ENSGALP00000006027	ENSACAP00000005444
ENSGALP00000029643	ENSACAP00000005623
ENSGALP00000016021	ENSACAP00000016112
ENSGALP00000018553	ENSACAP00000000193
ENSGALP00000002401	ENSACAP00000010321
ENSGALP00000014649	ENSACAP00000006987
ENSGALP00000012873	ENSACAP00000005007
ENSGALP00000041588	ENSACAP00000013643
ENSGALP00000012927	ENSACAP00000010047
ENSGALP00000002848	ENSACAP00000012012
ENSGALP00000002836	ENSACAP00000018690
ENSGALP00000007730	ENSACAP00000004219
ENSGALP00000019120	ENSACAP00000015494
ENSGALP00000010510	ENSACAP00000004798
ENSGALP00000001474	ENSACAP00000004078
ENSGALP00000010718	ENSACAP00000001088
ENSGALP00000003717	ENSACAP00000015698
ENSGALP00000025606	ENSACAP00000004467
ENSGALP00000036285	ENSACAP00000005873
ENSGALP00000009351	ENSACAP00000001835
ENSGALP00000019566	ENSACAP00000014840
ENSGALP00000006447	ENSACAP00000008406
ENSGALP00000005150	ENSACAP00000012838
ENSGALP00000007847	ENSACAP00000009680
ENSGALP00000032312	ENSACAP00000007792
ENSGALP00000016886	ENSACAP00000018412
ENSGALP00000016883	ENSACAP00000017761
ENSGALP00000016882	ENSACAP00000019211
ENSGALP00000016891	ENSACAP00000007789
ENSGALP00000008089	ENSACAP00000020838
ENSGALP00000026119	ENSACAP00000017650
ENSGALP00000007963	ENSACAP00000008106
ENSGALP00000026960	ENSACAP00000012446
ENSGALP00000041360	ENSACAP00000006460
ENSGALP00000005960	ENSACAP00000003419
ENSGALP00000035809	ENSACAP00000012467
ENSGALP00000035831	ENSACAP00000015858
ENSGALP00000021178	ENSACAP00000000029
ENSGALP00000004717	ENSACAP00000013670
ENSGALP00000008354	ENSACAP00000001119
ENSGALP00000042174	ENSACAP00000000552
ENSGALP00000000103	ENSACAP00000015929
ENSGALP00000021661	ENSACAP00000007492
ENSGALP00000008273	ENSACAP00000000777
ENSGALP00000020923	ENSACAP00000012669
ENSGALP00000023528	ENSACAP00000009619
ENSGALP00000017712	ENSACAP00000001319
ENSGALP00000009966	ENSACAP00000016817
ENSGALP00000015926	ENSACAP00000006086
ENSGALP00000016880	ENSACAP00000016842
ENSGALP00000015871	ENSACAP00000001864
ENSGALP00000009004	ENSACAP00000002959
ENSGALP00000009685	ENSACAP00000016298
ENSGALP00000010541	ENSACAP00000022391
ENSGALP00000042528	ENSACAP00000000477
ENSGALP00000017856	ENSACAP00000013286
ENSGALP00000032649	ENSACAP00000011970
ENSGALP00000025472	ENSACAP00000001909
ENSGALP00000025114	ENSACAP00000014097
ENSGALP00000014101	ENSACAP00000005123
ENSGALP00000042998	ENSACAP00000012263
ENSGALP00000021550	ENSACAP00000016998
ENSGALP00000011134	ENSACAP00000000083
ENSGALP00000041611	ENSACAP00000004428
ENSGALP00000036527	ENSACAP00000002974
ENSGALP00000042712	ENSACAP00000013481
ENSGALP00000042464	ENSACAP00000008599
ENSGALP00000030960	ENSACAP00000000242
ENSGALP00000030213	ENSACAP00000013864
ENSGALP00000002638	ENSACAP00000022297
ENSGALP00000011413	ENSACAP00000015728
ENSGALP00000009200	ENSACAP00000011579
ENSGALP00000040642	ENSACAP00000006096
ENSGALP00000016547	ENSACAP00000007355
ENSGALP00000021543	ENSACAP00000018297
ENSGALP00000003847	ENSACAP00000015927
ENSGALP00000008131	ENSACAP00000008830
ENSGALP00000001054	ENSACAP00000017368
ENSGALP00000035892	ENSACAP00000014517
ENSGALP00000010428	ENSACAP00000016774
ENSGALP00000026821	ENSACAP00000007485
ENSGALP00000000107	ENSACAP00000006473
ENSGALP00000038965	ENSACAP00000006842
ENSGALP00000026707	ENSACAP00000021579
ENSGALP00000013796	ENSACAP00000003327
ENSGALP00000043032	ENSACAP00000013174
ENSGALP00000011333	ENSACAP00000000079
ENSGALP00000021646	ENSACAP00000009131
ENSGALP00000006299	ENSACAP00000015338
ENSGALP00000003671	ENSACAP00000007490
ENSGALP00000038075	ENSACAP00000005084
ENSGALP00000000412	ENSACAP00000010928
ENSGALP00000003234	ENSACAP00000015916
ENSGALP00000039341	ENSACAP00000010696
ENSGALP00000009803	ENSACAP00000016713
ENSGALP00000008661	ENSACAP00000005094
