ENSMUSP00000129557	ENSCAFP00000018255
ENSMUSP00000022831	ENSCAFP00000018293
ENSMUSP00000034074	ENSCAFP00000014731
ENSMUSP00000037172	ENSCAFP00000004893
ENSMUSP00000127603	ENSCAFP00000021101
ENSMUSP00000080820	ENSCAFP00000042022
ENSMUSP00000040217	ENSCAFP00000000536
ENSMUSP00000025288	ENSCAFP00000026820
ENSMUSP00000105282	ENSCAFP00000014703
ENSMUSP00000050750	ENSCAFP00000039181
ENSMUSP00000040779	ENSCAFP00000037942
ENSMUSP00000018989	ENSCAFP00000027009
ENSMUSP00000129186	ENSCAFP00000013696
ENSMUSP00000018466	ENSCAFP00000014101
ENSMUSP00000047335	ENSCAFP00000000777
ENSMUSP00000014505	ENSCAFP00000010599
ENSMUSP00000028763	ENSCAFP00000014168
ENSMUSP00000002677	ENSCAFP00000007520
ENSMUSP00000035203	ENSCAFP00000016175
ENSMUSP00000111103	ENSCAFP00000041478
ENSMUSP00000032264	ENSCAFP00000019851
ENSMUSP00000029128	ENSCAFP00000011228
ENSMUSP00000097060	ENSCAFP00000020209
ENSMUSP00000033610	ENSCAFP00000025906
ENSMUSP00000015484	ENSCAFP00000020532
ENSMUSP00000024565	ENSCAFP00000000844
ENSMUSP00000032781	ENSCAFP00000006503
ENSMUSP00000133649	ENSCAFP00000004514
ENSMUSP00000054412	ENSCAFP00000008815
ENSMUSP00000045511	ENSCAFP00000012433
ENSMUSP00000109355	ENSCAFP00000023389
ENSMUSP00000075235	ENSCAFP00000022926
ENSMUSP00000024829	ENSCAFP00000015206
ENSMUSP00000124647	ENSCAFP00000018010
ENSMUSP00000035246	ENSCAFP00000003668
ENSMUSP00000069495	ENSCAFP00000003657
ENSMUSP00000113675	ENSCAFP00000028428
ENSMUSP00000034840	ENSCAFP00000026110
ENSMUSP00000110574	ENSCAFP00000007426
ENSMUSP00000005606	ENSCAFP00000024262
ENSMUSP00000005164	ENSCAFP00000030135
ENSMUSP00000124963	ENSCAFP00000013072
ENSMUSP00000073268	ENSCAFP00000035869
ENSMUSP00000082710	ENSCAFP00000041440
ENSMUSP00000021706	ENSCAFP00000026713
ENSMUSP00000028311	ENSCAFP00000028894
ENSMUSP00000004949	ENSCAFP00000010159
ENSMUSP00000017530	ENSCAFP00000027741
ENSMUSP00000069259	ENSCAFP00000016670
ENSMUSP00000096248	ENSCAFP00000025741
ENSMUSP00000110425	ENSCAFP00000025956
ENSMUSP00000005064	ENSCAFP00000028253
ENSMUSP00000124863	ENSCAFP00000023060
ENSMUSP00000079306	ENSCAFP00000023616
ENSMUSP00000007248	ENSCAFP00000000900
ENSMUSP00000015800	ENSCAFP00000002766
ENSMUSP00000097747	ENSCAFP00000029957
ENSMUSP00000027961	ENSCAFP00000007014
ENSMUSP00000025217	ENSCAFP00000001849
ENSMUSP00000124394	ENSCAFP00000039463
ENSMUSP00000070606	ENSCAFP00000025988
ENSMUSP00000108660	ENSCAFP00000005391
ENSMUSP00000090790	ENSCAFP00000029580
ENSMUSP00000104363	ENSCAFP00000027190
ENSMUSP00000062535	ENSCAFP00000021251
ENSMUSP00000088642	ENSCAFP00000032029
ENSMUSP00000059272	ENSCAFP00000012523
ENSMUSP00000044730	ENSCAFP00000012527
ENSMUSP00000051353	ENSCAFP00000012528
ENSMUSP00000082115	ENSCAFP00000012512
ENSMUSP00000042715	ENSCAFP00000021250
ENSMUSP00000114020	ENSCAFP00000014319
ENSMUSP00000084462	ENSCAFP00000038033
ENSMUSP00000020679	ENSCAFP00000025582
ENSMUSP00000053871	ENSCAFP00000014331
ENSMUSP00000099608	ENSCAFP00000019089
ENSMUSP00000038922	ENSCAFP00000035150
ENSMUSP00000086017	ENSCAFP00000040283
ENSMUSP00000089212	ENSCAFP00000003298
ENSMUSP00000019516	ENSCAFP00000002012
ENSMUSP00000033081	ENSCAFP00000024610
ENSMUSP00000047308	ENSCAFP00000003277
ENSMUSP00000002305	ENSCAFP00000005920
ENSMUSP00000138819	ENSCAFP00000027297
ENSMUSP00000015858	ENSCAFP00000018115
ENSMUSP00000069238	ENSCAFP00000015735
ENSMUSP00000028426	ENSCAFP00000017392
ENSMUSP00000023762	ENSCAFP00000012144
ENSMUSP00000120598	ENSCAFP00000030690
ENSMUSP00000064556	ENSCAFP00000018258
ENSMUSP00000021682	ENSCAFP00000025261
ENSMUSP00000059666	ENSCAFP00000011525
ENSMUSP00000108629	ENSCAFP00000012786
ENSMUSP00000020624	ENSCAFP00000000688
ENSMUSP00000124846	ENSCAFP00000019680
ENSMUSP00000038964	ENSCAFP00000022794
ENSMUSP00000101004	ENSCAFP00000028846
ENSMUSP00000048153	ENSCAFP00000034455
ENSMUSP00000031841	ENSCAFP00000004119
ENSMUSP00000080467	ENSCAFP00000030651
ENSMUSP00000122476	ENSCAFP00000037844
ENSMUSP00000099733	ENSCAFP00000019894
ENSMUSP00000005103	ENSCAFP00000004239
ENSMUSP00000026703	ENSCAFP00000012830
ENSMUSP00000103815	ENSCAFP00000041229
ENSMUSP00000003509	ENSCAFP00000039048
ENSMUSP00000074764	ENSCAFP00000025974
ENSMUSP00000032421	ENSCAFP00000017436
ENSMUSP00000025477	ENSCAFP00000000191
ENSMUSP00000026896	ENSCAFP00000016481
ENSMUSP00000043477	ENSCAFP00000011295
ENSMUSP00000100012	ENSCAFP00000041377
ENSMUSP00000050047	ENSCAFP00000019556
ENSMUSP00000099434	ENSCAFP00000011055
ENSMUSP00000029069	ENSCAFP00000012654
ENSMUSP00000015003	ENSCAFP00000037675
ENSMUSP00000048516	ENSCAFP00000008333
ENSMUSP00000046544	ENSCAFP00000016939
ENSMUSP00000050496	ENSCAFP00000028469
ENSMUSP00000047838	ENSCAFP00000022790
ENSMUSP00000048260	ENSCAFP00000005175
ENSMUSP00000020339	ENSCAFP00000000678
ENSMUSP00000036487	ENSCAFP00000004185
ENSMUSP00000049007	ENSCAFP00000001898
ENSMUSP00000022369	ENSCAFP00000040432
ENSMUSP00000085900	ENSCAFP00000034643
ENSMUSP00000093089	ENSCAFP00000036968
ENSMUSP00000049346	ENSCAFP00000010553
ENSMUSP00000113708	ENSCAFP00000011914
ENSMUSP00000080579	ENSCAFP00000013282
ENSMUSP00000105240	ENSCAFP00000012034
ENSMUSP00000125718	ENSCAFP00000001467
ENSMUSP00000073803	ENSCAFP00000006614
ENSMUSP00000028349	ENSCAFP00000028666
ENSMUSP00000096957	ENSCAFP00000011981
ENSMUSP00000002989	ENSCAFP00000022241
ENSMUSP00000044578	ENSCAFP00000016043
ENSMUSP00000102710	ENSCAFP00000016786
ENSMUSP00000111054	ENSCAFP00000005125
ENSMUSP00000103474	ENSCAFP00000005344
ENSMUSP00000032500	ENSCAFP00000022750
ENSMUSP00000097166	ENSCAFP00000018033
ENSMUSP00000102177	ENSCAFP00000030540
ENSMUSP00000034703	ENSCAFP00000025984
ENSMUSP00000032715	ENSCAFP00000035073
ENSMUSP00000047652	ENSCAFP00000015060
