ENSTGUP00000008915	ENSGACP00000003450
ENSTGUP00000002935	ENSGACP00000026872
ENSTGUP00000010998	ENSGACP00000008784
ENSTGUP00000010909	ENSGACP00000017512
ENSTGUP00000008898	ENSGACP00000003444
ENSTGUP00000010401	ENSGACP00000015229
ENSTGUP00000005020	ENSGACP00000013204
ENSTGUP00000014038	ENSGACP00000018412
ENSTGUP00000005254	ENSGACP00000004939
ENSTGUP00000007673	ENSGACP00000007033
ENSTGUP00000005389	ENSGACP00000012136
ENSTGUP00000006862	ENSGACP00000004873
ENSTGUP00000008706	ENSGACP00000002806
ENSTGUP00000008706	ENSGACP00000023126
ENSTGUP00000007828	ENSGACP00000004170
ENSTGUP00000003676	ENSGACP00000000014
ENSTGUP00000004968	ENSGACP00000008196
ENSTGUP00000002319	ENSGACP00000022876
ENSTGUP00000000909	ENSGACP00000004209
ENSTGUP00000001623	ENSGACP00000025947
ENSTGUP00000005458	ENSGACP00000000488
ENSTGUP00000008967	ENSGACP00000021405
ENSTGUP00000005263	ENSGACP00000013531
ENSTGUP00000003862	ENSGACP00000014122
ENSTGUP00000003819	ENSGACP00000014108
ENSTGUP00000010714	ENSGACP00000018787
ENSTGUP00000002960	ENSGACP00000002402
ENSTGUP00000016783	ENSGACP00000013540
ENSTGUP00000016783	ENSGACP00000012095
ENSTGUP00000008885	ENSGACP00000020058
ENSTGUP00000003276	ENSGACP00000025883
ENSTGUP00000013203	ENSGACP00000005703
ENSTGUP00000002510	ENSGACP00000020860
ENSTGUP00000002510	ENSGACP00000006974
ENSTGUP00000010462	ENSGACP00000022648
ENSTGUP00000009884	ENSGACP00000006839
ENSTGUP00000009884	ENSGACP00000022315
ENSTGUP00000006567	ENSGACP00000011561
ENSTGUP00000006567	ENSGACP00000002990
ENSTGUP00000000503	ENSGACP00000026579
ENSTGUP00000000503	ENSGACP00000013930
ENSTGUP00000007517	ENSGACP00000021969
ENSTGUP00000002402	ENSGACP00000025513
ENSTGUP00000006436	ENSGACP00000017996
ENSTGUP00000005879	ENSGACP00000019294
ENSTGUP00000006914	ENSGACP00000009755
ENSTGUP00000007511	ENSGACP00000015915
ENSTGUP00000006599	ENSGACP00000010900
ENSTGUP00000011705	ENSGACP00000013505
ENSTGUP00000010829	ENSGACP00000018209
ENSTGUP00000001184	ENSGACP00000012521
ENSTGUP00000012380	ENSGACP00000004603
ENSTGUP00000002856	ENSGACP00000019518
ENSTGUP00000002856	ENSGACP00000004546
ENSTGUP00000012053	ENSGACP00000026389
ENSTGUP00000004874	ENSGACP00000004274
ENSTGUP00000004874	ENSGACP00000015475
ENSTGUP00000009101	ENSGACP00000017407
ENSTGUP00000007812	ENSGACP00000007063
ENSTGUP00000014440	ENSGACP00000013968
ENSTGUP00000003097	ENSGACP00000015931
ENSTGUP00000012631	ENSGACP00000009933
ENSTGUP00000007507	ENSGACP00000005141
ENSTGUP00000001158	ENSGACP00000023842
ENSTGUP00000002880	ENSGACP00000009128
ENSTGUP00000009297	ENSGACP00000005885
ENSTGUP00000012744	ENSGACP00000008256
ENSTGUP00000001616	ENSGACP00000021278
ENSTGUP00000012121	ENSGACP00000026085
ENSTGUP00000017784	ENSGACP00000024121
ENSTGUP00000008788	ENSGACP00000014218
ENSTGUP00000006514	ENSGACP00000008788
ENSTGUP00000000930	ENSGACP00000012624
ENSTGUP00000012077	ENSGACP00000022472
ENSTGUP00000005575	ENSGACP00000018261
ENSTGUP00000007749	ENSGACP00000022347
ENSTGUP00000007512	ENSGACP00000010215
ENSTGUP00000008852	ENSGACP00000007839
ENSTGUP00000015232	ENSGACP00000024328
ENSTGUP00000006775	ENSGACP00000013891
ENSTGUP00000006775	ENSGACP00000015752
ENSTGUP00000000722	ENSGACP00000013838
ENSTGUP00000000421	ENSGACP00000010614
ENSTGUP00000016110	ENSGACP00000022578
ENSTGUP00000005741	ENSGACP00000025019
ENSTGUP00000004581	ENSGACP00000016521
ENSTGUP00000007902	ENSGACP00000011213
ENSTGUP00000000228	ENSGACP00000023031
ENSTGUP00000002076	ENSGACP00000018735
ENSTGUP00000013997	ENSGACP00000003980
ENSTGUP00000000954	ENSGACP00000020505
ENSTGUP00000005006	ENSGACP00000024791
ENSTGUP00000004870	ENSGACP00000011235
ENSTGUP00000004870	ENSGACP00000023409
ENSTGUP00000013118	ENSGACP00000011399
ENSTGUP00000003528	ENSGACP00000016404
ENSTGUP00000007385	ENSGACP00000026319
ENSTGUP00000007385	ENSGACP00000015343
ENSTGUP00000012794	ENSGACP00000010214
ENSTGUP00000011586	ENSGACP00000020270
ENSTGUP00000005627	ENSGACP00000018406
ENSTGUP00000003067	ENSGACP00000024658
ENSTGUP00000011582	ENSGACP00000020271
ENSTGUP00000011582	ENSGACP00000005379
ENSTGUP00000005646	ENSGACP00000018417
ENSTGUP00000005646	ENSGACP00000008623
ENSTGUP00000007259	ENSGACP00000014394
ENSTGUP00000010021	ENSGACP00000019210
ENSTGUP00000008703	ENSGACP00000002834
ENSTGUP00000000869	ENSGACP00000002348
ENSTGUP00000000869	ENSGACP00000023091
ENSTGUP00000004236	ENSGACP00000015815
ENSTGUP00000002050	ENSGACP00000022066
ENSTGUP00000001084	ENSGACP00000010750
ENSTGUP00000017815	ENSGACP00000012695
ENSTGUP00000017815	ENSGACP00000007203
ENSTGUP00000004062	ENSGACP00000005237
ENSTGUP00000004566	ENSGACP00000024500
ENSTGUP00000011805	ENSGACP00000003704
ENSTGUP00000009073	ENSGACP00000004888
ENSTGUP00000006886	ENSGACP00000008807
