ENSCAFP00000018255	ENSP00000371994
ENSCAFP00000018293	ENSP00000251343
ENSCAFP00000014731	ENSP00000262384
ENSCAFP00000004893	ENSP00000362179
ENSCAFP00000021101	ENSP00000278590
ENSCAFP00000042022	ENSP00000340839
ENSCAFP00000000536	ENSP00000386616
ENSCAFP00000026820	ENSP00000354794
ENSCAFP00000014703	ENSP00000455426
ENSCAFP00000039181	ENSP00000326581
ENSCAFP00000027009	ENSP00000268876
ENSCAFP00000013696	ENSP00000284320
ENSCAFP00000014101	ENSP00000361900
ENSCAFP00000000777	ENSP00000373450
ENSCAFP00000010599	ENSP00000295408
ENSCAFP00000007520	ENSP00000301178
ENSCAFP00000016175	ENSP00000296474
ENSCAFP00000041478	ENSP00000317272
ENSCAFP00000019851	ENSP00000394008
ENSCAFP00000023725	ENSP00000306866
ENSCAFP00000029489	ENSP00000305059
ENSCAFP00000011228	ENSP00000363970
ENSCAFP00000025792	ENSP00000373518
ENSCAFP00000020209	ENSP00000317997
ENSCAFP00000025906	ENSP00000362057
ENSCAFP00000020532	ENSP00000367851
ENSCAFP00000000844	ENSP00000159060
ENSCAFP00000006503	ENSP00000263317
ENSCAFP00000004514	ENSP00000358635
ENSCAFP00000008815	ENSP00000445366
ENSCAFP00000012433	ENSP00000281722
ENSCAFP00000022926	ENSP00000363107
ENSCAFP00000015206	ENSP00000354995
ENSCAFP00000018010	ENSP00000304111
ENSCAFP00000003668	ENSP00000272286
ENSCAFP00000003657	ENSP00000260645
ENSCAFP00000014177	ENSP00000237612
ENSCAFP00000028428	ENSP00000292672
ENSCAFP00000007426	ENSP00000389951
ENSCAFP00000012432	ENSP00000435926
ENSCAFP00000024262	ENSP00000309591
ENSCAFP00000030135	ENSP00000359719
ENSCAFP00000013072	ENSP00000378945
ENSCAFP00000035869	ENSP00000363092
ENSCAFP00000041440	ENSP00000261464
ENSCAFP00000026713	ENSP00000454207
ENSCAFP00000028894	ENSP00000247668
ENSCAFP00000010159	ENSP00000433623
ENSCAFP00000016670	ENSP00000376765
ENSCAFP00000025741	ENSP00000249636
ENSCAFP00000025956	ENSP00000465676
ENSCAFP00000028253	ENSP00000262971
ENSCAFP00000023060	ENSP00000334474
ENSCAFP00000023616	ENSP00000247207
ENSCAFP00000000900	ENSP00000364805
ENSCAFP00000002766	ENSP00000432083
ENSCAFP00000029957	ENSP00000324173
ENSCAFP00000007014	ENSP00000367623
ENSCAFP00000001849	ENSP00000297185
ENSCAFP00000037784	ENSP00000339063
ENSCAFP00000039463	ENSP00000454748
ENSCAFP00000025988	ENSP00000453273
ENSCAFP00000005391	ENSP00000362962
ENSCAFP00000029580	ENSP00000367815
ENSCAFP00000027190	ENSP00000326870
ENSCAFP00000021251	ENSP00000303549
ENSCAFP00000032029	ENSP00000308361
ENSCAFP00000012523	ENSP00000260843
ENSCAFP00000012527	ENSP00000320376
ENSCAFP00000012528	ENSP00000307259
ENSCAFP00000012512	ENSP00000308479
ENSCAFP00000021250	ENSP00000367384
ENSCAFP00000014319	ENSP00000337618
ENSCAFP00000038033	ENSP00000295461
ENSCAFP00000025582	ENSP00000311687
ENSCAFP00000014331	ENSP00000337452
ENSCAFP00000019089	ENSP00000363520
ENSCAFP00000035150	ENSP00000339256
ENSCAFP00000040283	ENSP00000313059
ENSCAFP00000021767	ENSP00000246914
ENSCAFP00000003298	ENSP00000297954
ENSCAFP00000002012	ENSP00000414055
ENSCAFP00000024610	ENSP00000369666
ENSCAFP00000017359	ENSP00000432786
ENSCAFP00000024137	ENSP00000350676
ENSCAFP00000003277	ENSP00000352185
ENSCAFP00000005920	ENSP00000380692
ENSCAFP00000027297	ENSP00000251363
ENSCAFP00000018115	ENSP00000271688
ENSCAFP00000015735	ENSP00000284382
ENSCAFP00000017392	ENSP00000376453
ENSCAFP00000012144	ENSP00000325485
ENSCAFP00000030690	ENSP00000402697
ENSCAFP00000018258	ENSP00000355929
ENSCAFP00000025261	ENSP00000251089
ENSCAFP00000011525	ENSP00000309142
ENSCAFP00000012786	ENSP00000264903
ENSCAFP00000000688	ENSP00000377024
ENSCAFP00000019680	ENSP00000416959
ENSCAFP00000022794	ENSP00000365950
ENSCAFP00000028846	ENSP00000468788
ENSCAFP00000027996	ENSP00000359645
ENSCAFP00000004119	ENSP00000297071
ENSCAFP00000030651	ENSP00000354855
ENSCAFP00000037844	ENSP00000439120
ENSCAFP00000019894	ENSP00000380252
ENSCAFP00000012830	ENSP00000382805
ENSCAFP00000041229	ENSP00000257749
ENSCAFP00000039048	ENSP00000366827
ENSCAFP00000025974	ENSP00000321343
ENSCAFP00000017436	ENSP00000379353
ENSCAFP00000000191	ENSP00000320431
ENSCAFP00000016481	ENSP00000268164
ENSCAFP00000011295	ENSP00000231461
ENSCAFP00000041377	ENSP00000262904
ENSCAFP00000019556	ENSP00000355249
ENSCAFP00000011055	ENSP00000345571
ENSCAFP00000005307	ENSP00000370936
ENSCAFP00000012654	ENSP00000398124
ENSCAFP00000037675	ENSP00000368686
ENSCAFP00000008333	ENSP00000309794
ENSCAFP00000028469	ENSP00000268989
ENSCAFP00000022790	ENSP00000365962
ENSCAFP00000005175	ENSP00000221543
ENSCAFP00000000678	ENSP00000448182
ENSCAFP00000004185	ENSP00000320434
ENSCAFP00000001898	ENSP00000304669
ENSCAFP00000034643	ENSP00000386141
ENSCAFP00000010553	ENSP00000477059
ENSCAFP00000011914	ENSP00000416707
ENSCAFP00000013282	ENSP00000386881
ENSCAFP00000001467	ENSP00000428280
ENSCAFP00000006614	ENSP00000272371
ENSCAFP00000028666	ENSP00000360475
ENSCAFP00000011981	ENSP00000265138
ENSCAFP00000022241	ENSP00000222250
ENSCAFP00000016043	ENSP00000268042
ENSCAFP00000016786	ENSP00000358323
ENSCAFP00000005125	ENSP00000265224
ENSCAFP00000022750	ENSP00000372067
ENSCAFP00000018033	ENSP00000380759
ENSCAFP00000030540	ENSP00000359095
ENSCAFP00000025984	ENSP00000325690
ENSCAFP00000035073	ENSP00000331879
ENSCAFP00000015060	ENSP00000266037
ENSCAFP00000004908	ENSP00000404179
ENSCAFP00000013243	ENSP00000276440
ENSCAFP00000024998	ENSP00000256935
ENSCAFP00000014218	ENSP00000340677
ENSCAFP00000001653	ENSP00000381739
ENSCAFP00000042751	ENSP00000272164
ENSCAFP00000019792	ENSP00000290015
ENSCAFP00000022068	ENSP00000258411
ENSCAFP00000017397	ENSP00000357077
ENSCAFP00000019405	ENSP00000432282
ENSCAFP00000015262	ENSP00000377494
ENSCAFP00000029060	ENSP00000263097
ENSCAFP00000021938	ENSP00000252809
ENSCAFP00000023624	ENSP00000252677
ENSCAFP00000001306	ENSP00000367942
ENSCAFP00000020713	ENSP00000287139
ENSCAFP00000023867	ENSP00000224605
ENSCAFP00000013047	ENSP00000282701
ENSCAFP00000006577	ENSP00000468312
ENSCAFP00000026382	ENSP00000334314
ENSCAFP00000009752	ENSP00000320663
ENSCAFP00000023231	ENSP00000378254
ENSCAFP00000025744	ENSP00000451998
ENSCAFP00000034903	ENSP00000309782
ENSCAFP00000015222	ENSP00000330612
ENSCAFP00000007928	ENSP00000366267
ENSCAFP00000027825	ENSP00000377836
ENSCAFP00000027822	ENSP00000359864
ENSCAFP00000021439	ENSP00000292377
ENSCAFP00000018637	ENSP00000264039
ENSCAFP00000009013	ENSP00000280481
ENSCAFP00000002219	ENSP00000412940
ENSCAFP00000038852	ENSP00000264895
ENSCAFP00000036156	ENSP00000374507
ENSCAFP00000004138	ENSP00000338728
ENSCAFP00000021283	ENSP00000349238
ENSCAFP00000025317	ENSP00000380785
ENSCAFP00000027841	ENSP00000360252
ENSCAFP00000042574	ENSP00000305699
ENSCAFP00000029742	ENSP00000310015
ENSCAFP00000016350	ENSP00000441897
ENSCAFP00000025289	ENSP00000357459
ENSCAFP00000029577	ENSP00000268624
ENSCAFP00000005947	ENSP00000296513
ENSCAFP00000021524	ENSP00000262803
ENSCAFP00000019815	ENSP00000399797
ENSCAFP00000001004	ENSP00000262794
ENSCAFP00000016801	ENSP00000351524
ENSCAFP00000017186	ENSP00000424737
ENSCAFP00000019101	ENSP00000417401
ENSCAFP00000002598	ENSP00000228437
ENSCAFP00000031903	ENSP00000384725
ENSCAFP00000030461	ENSP00000253008
ENSCAFP00000036507	ENSP00000276594
ENSCAFP00000019811	ENSP00000354960
ENSCAFP00000029719	ENSP00000361929
ENSCAFP00000022462	ENSP00000252599
ENSCAFP00000024310	ENSP00000196061
ENSCAFP00000020467	ENSP00000223127
ENSCAFP00000011995	ENSP00000282903
ENSCAFP00000018117	ENSP00000292807
ENSCAFP00000021690	ENSP00000352603
ENSCAFP00000022596	ENSP00000347408
ENSCAFP00000008348	ENSP00000428787
ENSCAFP00000026189	ENSP00000250244
ENSCAFP00000023182	ENSP00000388996
ENSCAFP00000018253	ENSP00000406472
ENSCAFP00000002791	ENSP00000265741
ENSCAFP00000022118	ENSP00000276052
ENSCAFP00000014825	ENSP00000423665
ENSCAFP00000009683	ENSP00000261211
ENSCAFP00000012387	ENSP00000296525
ENSCAFP00000017550	ENSP00000417914
ENSCAFP00000007818	ENSP00000350331
ENSCAFP00000018354	ENSP00000264607
ENSCAFP00000024345	ENSP00000355195
ENSCAFP00000023486	ENSP00000251535
ENSCAFP00000023467	ENSP00000458832
ENSCAFP00000024897	ENSP00000369530
ENSCAFP00000024930	ENSP00000315167
ENSCAFP00000024944	ENSP00000314879
ENSCAFP00000010341	ENSP00000363512
ENSCAFP00000010262	ENSP00000305426
ENSCAFP00000022958	ENSP00000380321
ENSCAFP00000005775	ENSP00000221399
ENSCAFP00000001922	ENSP00000229771
ENSCAFP00000000922	ENSP00000356064
ENSCAFP00000005678	ENSP00000314444
ENSCAFP00000000979	ENSP00000216271
ENSCAFP00000022990	ENSP00000334061
ENSCAFP00000013479	ENSP00000080059
ENSCAFP00000021172	ENSP00000225983
ENSCAFP00000001491	ENSP00000346236
ENSCAFP00000018897	ENSP00000464050
ENSCAFP00000002001	ENSP00000380033
ENSCAFP00000017225	ENSP00000225792
ENSCAFP00000022190	ENSP00000267842
ENSCAFP00000025707	ENSP00000357650
ENSCAFP00000001025	ENSP00000262462
ENSCAFP00000029725	ENSP00000300456
ENSCAFP00000022577	ENSP00000252595
ENSCAFP00000013959	ENSP00000359520
ENSCAFP00000013459	ENSP00000351520
ENSCAFP00000012396	ENSP00000360250
ENSCAFP00000028861	ENSP00000347213
ENSCAFP00000028733	ENSP00000360561
ENSCAFP00000007656	ENSP00000301825
ENSCAFP00000021476	ENSP00000378046
ENSCAFP00000004543	ENSP00000222803
ENSCAFP00000042734	ENSP00000413152
ENSCAFP00000004699	ENSP00000242209
ENSCAFP00000023374	ENSP00000317232
ENSCAFP00000033673	ENSP00000345964
ENSCAFP00000015628	ENSP00000358715
ENSCAFP00000021284	ENSP00000422185
ENSCAFP00000017344	ENSP00000260197
ENSCAFP00000029371	ENSP00000256637
ENSCAFP00000021360	ENSP00000233813
ENSCAFP00000018107	ENSP00000370473
ENSCAFP00000041937	ENSP00000301464
ENSCAFP00000018097	ENSP00000275525
ENSCAFP00000021381	ENSP00000233809
ENSCAFP00000023677	ENSP00000269593
ENSCAFP00000020181	ENSP00000169298
ENSCAFP00000003057	ENSP00000386942
ENSCAFP00000042913	ENSP00000362239
ENSCAFP00000030233	ENSP00000417583
ENSCAFP00000029789	ENSP00000336733
ENSCAFP00000030236	ENSP00000329214
ENSCAFP00000007396	ENSP00000444688
ENSCAFP00000018277	ENSP00000354490
ENSCAFP00000018327	ENSP00000357060
ENSCAFP00000011046	ENSP00000218548
ENSCAFP00000041421	ENSP00000355968
ENSCAFP00000007210	ENSP00000233535
ENSCAFP00000018683	ENSP00000363394
ENSCAFP00000001179	ENSP00000415011
ENSCAFP00000032670	ENSP00000261867
ENSCAFP00000010268	ENSP00000370698
ENSCAFP00000010258	ENSP00000415900
ENSCAFP00000005013	ENSP00000362195
ENSCAFP00000027366	ENSP00000262345
ENSCAFP00000027533	ENSP00000263409
ENSCAFP00000027517	ENSP00000274276
ENSCAFP00000037510	ENSP00000395461
ENSCAFP00000002148	ENSP00000418751
ENSCAFP00000028725	ENSP00000255608
ENSCAFP00000019445	ENSP00000261721
ENSCAFP00000042805	ENSP00000384545
ENSCAFP00000027189	ENSP00000376337
ENSCAFP00000001269	ENSP00000385836
ENSCAFP00000015344	ENSP00000260743
ENSCAFP00000015347	ENSP00000329926
ENSCAFP00000001267	ENSP00000357588
ENSCAFP00000036079	ENSP00000445952
ENSCAFP00000011219	ENSP00000374218
ENSCAFP00000007816	ENSP00000251527
ENSCAFP00000011829	ENSP00000424126
ENSCAFP00000030086	ENSP00000340594
ENSCAFP00000023803	ENSP00000341489
ENSCAFP00000028129	ENSP00000303909
ENSCAFP00000011415	ENSP00000422607
ENSCAFP00000001165	ENSP00000368566
ENSCAFP00000016128	ENSP00000348429
ENSCAFP00000039247	ENSP00000465589
ENSCAFP00000020918	ENSP00000258873
ENSCAFP00000040632	ENSP00000233156
ENSCAFP00000003004	ENSP00000222543
ENSCAFP00000025369	ENSP00000311184
ENSCAFP00000029086	ENSP00000324763
ENSCAFP00000004896	ENSP00000265132
ENSCAFP00000006594	ENSP00000245932
ENSCAFP00000026399	ENSP00000376652
ENSCAFP00000023863	ENSP00000355809
ENSCAFP00000012682	ENSP00000299084
ENSCAFP00000004789	ENSP00000348753
ENSCAFP00000008867	ENSP00000345405
ENSCAFP00000025760	ENSP00000225275
ENSCAFP00000025737	ENSP00000262290
ENSCAFP00000010033	ENSP00000348645
ENSCAFP00000015882	ENSP00000313829
ENSCAFP00000003598	ENSP00000281156
ENSCAFP00000001665	ENSP00000348108
ENSCAFP00000030367	ENSP00000355094
ENSCAFP00000014716	ENSP00000328694
ENSCAFP00000004331	ENSP00000379366
ENSCAFP00000028722	ENSP00000349575
ENSCAFP00000034674	ENSP00000271139
ENSCAFP00000025245	ENSP00000427695
ENSCAFP00000030999	ENSP00000331305
ENSCAFP00000013904	ENSP00000290551
ENSCAFP00000020942	ENSP00000348300
ENSCAFP00000027123	ENSP00000269053
ENSCAFP00000035021	ENSP00000287748
ENSCAFP00000013149	ENSP00000301046
ENSCAFP00000036371	ENSP00000358142
ENSCAFP00000016465	ENSP00000299134
ENSCAFP00000006412	ENSP00000405482
ENSCAFP00000028496	ENSP00000262953
ENSCAFP00000028500	ENSP00000246112
ENSCAFP00000025949	ENSP00000452871
ENSCAFP00000022844	ENSP00000404705
ENSCAFP00000006408	ENSP00000432481
ENSCAFP00000020623	ENSP00000351484
ENSCAFP00000019067	ENSP00000353224
ENSCAFP00000021123	ENSP00000420525
ENSCAFP00000002566	ENSP00000345849
ENSCAFP00000002572	ENSP00000223026
ENSCAFP00000015681	ENSP00000401853
ENSCAFP00000015600	ENSP00000266031
ENSCAFP00000015697	ENSP00000337425
ENSCAFP00000005055	ENSP00000350937
ENSCAFP00000008315	ENSP00000157600
ENSCAFP00000010158	ENSP00000295902
ENSCAFP00000023232	ENSP00000365494
ENSCAFP00000014368	ENSP00000401060
ENSCAFP00000002336	ENSP00000404911
ENSCAFP00000003856	ENSP00000345055
ENSCAFP00000001557	ENSP00000373648
ENSCAFP00000019049	ENSP00000352035
ENSCAFP00000004162	ENSP00000262916
ENSCAFP00000042679	ENSP00000155840
ENSCAFP00000031975	ENSP00000361007
ENSCAFP00000031772	ENSP00000383900
ENSCAFP00000023039	ENSP00000377900
ENSCAFP00000031518	ENSP00000383901
ENSCAFP00000023110	ENSP00000337354
ENSCAFP00000006542	ENSP00000316842
ENSCAFP00000022969	ENSP00000216513
ENSCAFP00000040206	ENSP00000247182
ENSCAFP00000003716	ENSP00000304502
ENSCAFP00000003708	ENSP00000260653
ENSCAFP00000022960	ENSP00000328596
ENSCAFP00000020170	ENSP00000264380
ENSCAFP00000012996	ENSP00000337159
ENSCAFP00000027024	ENSP00000216602
ENSCAFP00000021911	ENSP00000290974
ENSCAFP00000030468	ENSP00000365908
ENSCAFP00000028252	ENSP00000390941
ENSCAFP00000018239	ENSP00000357927
ENSCAFP00000024524	ENSP00000267859
ENSCAFP00000013467	ENSP00000310491
ENSCAFP00000039778	ENSP00000387928
ENSCAFP00000006489	ENSP00000346151
ENSCAFP00000019378	ENSP00000304604
ENSCAFP00000021364	ENSP00000324729
ENSCAFP00000006932	ENSP00000164227
ENSCAFP00000014166	ENSP00000325663
ENSCAFP00000009996	ENSP00000380109
ENSCAFP00000002917	ENSP00000275015
ENSCAFP00000004775	ENSP00000311837
ENSCAFP00000010009	ENSP00000429842
ENSCAFP00000011007	ENSP00000217381
ENSCAFP00000030087	ENSP00000338191
ENSCAFP00000001366	ENSP00000378965
ENSCAFP00000001321	ENSP00000357484
ENSCAFP00000029965	ENSP00000340396
ENSCAFP00000043077	ENSP00000419378
ENSCAFP00000019030	ENSP00000363500
ENSCAFP00000002961	ENSP00000185206
ENSCAFP00000033681	ENSP00000290332
ENSCAFP00000041266	ENSP00000358460
ENSCAFP00000040267	ENSP00000387088
ENSCAFP00000008442	ENSP00000221419
ENSCAFP00000029783	ENSP00000412788
ENSCAFP00000004485	ENSP00000414921
ENSCAFP00000040526	ENSP00000410811
ENSCAFP00000015470	ENSP00000333836
ENSCAFP00000008562	ENSP00000320885
ENSCAFP00000022253	ENSP00000415769
ENSCAFP00000013056	ENSP00000273283
ENSCAFP00000035513	ENSP00000266041
ENSCAFP00000007605	ENSP00000256861
ENSCAFP00000012421	ENSP00000233630
ENSCAFP00000024642	ENSP00000354724
ENSCAFP00000010770	ENSP00000337500
ENSCAFP00000024338	ENSP00000461961
ENSCAFP00000025113	ENSP00000355026
ENSCAFP00000005216	ENSP00000056217
ENSCAFP00000017041	ENSP00000264051
ENSCAFP00000039810	ENSP00000367629
ENSCAFP00000012677	ENSP00000348828
ENSCAFP00000002774	ENSP00000366387
ENSCAFP00000002131	ENSP00000402584
ENSCAFP00000028913	ENSP00000319388
ENSCAFP00000027631	ENSP00000306335
ENSCAFP00000003031	ENSP00000371434
ENSCAFP00000024289	ENSP00000254325
ENSCAFP00000002647	ENSP00000350552
ENSCAFP00000001307	ENSP00000332208
ENSCAFP00000003191	ENSP00000401536
ENSCAFP00000026833	ENSP00000441771
ENSCAFP00000026835	ENSP00000293272
ENSCAFP00000040578	ENSP00000378365
ENSCAFP00000026831	ENSP00000293275
ENSCAFP00000020844	ENSP00000385361
ENSCAFP00000020819	ENSP00000248948
ENSCAFP00000042339	ENSP00000369702
ENSCAFP00000008984	ENSP00000368908
ENSCAFP00000031106	ENSP00000361036
ENSCAFP00000036076	ENSP00000287585
ENSCAFP00000027342	ENSP00000261497
ENSCAFP00000031753	ENSP00000475071
ENSCAFP00000023043	ENSP00000301962
ENSCAFP00000008259	ENSP00000441214
