ENSORLP00000017023	ENSGALP00000006197
ENSORLP00000018100	ENSGALP00000003140
ENSORLP00000011872	ENSGALP00000003140
ENSORLP00000011982	ENSGALP00000007499
ENSORLP00000006953	ENSGALP00000006308
ENSORLP00000021204	ENSGALP00000024336
ENSORLP00000017158	ENSGALP00000006178
ENSORLP00000016021	ENSGALP00000002175
ENSORLP00000014861	ENSGALP00000013518
ENSORLP00000011600	ENSGALP00000003417
ENSORLP00000020191	ENSGALP00000024624
ENSORLP00000018033	ENSGALP00000006527
ENSORLP00000014071	ENSGALP00000013423
ENSORLP00000014078	ENSGALP00000014051
ENSORLP00000024532	ENSGALP00000042226
ENSORLP00000001259	ENSGALP00000010474
ENSORLP00000018991	ENSGALP00000005074
ENSORLP00000000678	ENSGALP00000005074
ENSORLP00000015857	ENSGALP00000041254
ENSORLP00000003595	ENSGALP00000002938
ENSORLP00000017662	ENSGALP00000013077
ENSORLP00000006648	ENSGALP00000003834
ENSORLP00000001741	ENSGALP00000010835
ENSORLP00000002049	ENSGALP00000026172
ENSORLP00000003123	ENSGALP00000025476
ENSORLP00000025526	ENSGALP00000009477
ENSORLP00000003018	ENSGALP00000015078
ENSORLP00000007356	ENSGALP00000023036
ENSORLP00000016722	ENSGALP00000005964
ENSORLP00000025748	ENSGALP00000025999
ENSORLP00000005821	ENSGALP00000016167
ENSORLP00000005856	ENSGALP00000016163
ENSORLP00000013089	ENSGALP00000042521
ENSORLP00000003278	ENSGALP00000042521
ENSORLP00000022254	ENSGALP00000017721
ENSORLP00000007952	ENSGALP00000006027
ENSORLP00000021688	ENSGALP00000041168
ENSORLP00000025578	ENSGALP00000029643
ENSORLP00000001368	ENSGALP00000016021
ENSORLP00000024257	ENSGALP00000018553
ENSORLP00000003220	ENSGALP00000014649
ENSORLP00000020860	ENSGALP00000014649
ENSORLP00000001290	ENSGALP00000012873
ENSORLP00000005579	ENSGALP00000006340
ENSORLP00000008446	ENSGALP00000012927
ENSORLP00000002593	ENSGALP00000012927
ENSORLP00000008437	ENSGALP00000007730
ENSORLP00000011200	ENSGALP00000007730
ENSORLP00000006701	ENSGALP00000010510
ENSORLP00000008651	ENSGALP00000001474
ENSORLP00000015785	ENSGALP00000010718
ENSORLP00000020633	ENSGALP00000009351
ENSORLP00000019791	ENSGALP00000019566
ENSORLP00000011714	ENSGALP00000007847
ENSORLP00000007515	ENSGALP00000016882
ENSORLP00000000443	ENSGALP00000016891
ENSORLP00000000994	ENSGALP00000007963
ENSORLP00000023088	ENSGALP00000005960
ENSORLP00000019930	ENSGALP00000035809
ENSORLP00000018127	ENSGALP00000006776
ENSORLP00000003515	ENSGALP00000035831
ENSORLP00000014267	ENSGALP00000004717
ENSORLP00000015272	ENSGALP00000000103
ENSORLP00000019966	ENSGALP00000020923
ENSORLP00000021323	ENSGALP00000017712
ENSORLP00000021828	ENSGALP00000004991
ENSORLP00000020822	ENSGALP00000016880
ENSORLP00000021812	ENSGALP00000009004
ENSORLP00000006376	ENSGALP00000009685
ENSORLP00000020723	ENSGALP00000010541
ENSORLP00000017283	ENSGALP00000010541
ENSORLP00000019321	ENSGALP00000042528
ENSORLP00000005874	ENSGALP00000017856
ENSORLP00000021980	ENSGALP00000032649
ENSORLP00000022436	ENSGALP00000025114
ENSORLP00000003775	ENSGALP00000014101
ENSORLP00000006361	ENSGALP00000042998
ENSORLP00000018342	ENSGALP00000021550
ENSORLP00000010509	ENSGALP00000011134
ENSORLP00000017999	ENSGALP00000042712
ENSORLP00000001148	ENSGALP00000042464
ENSORLP00000022426	ENSGALP00000030213
ENSORLP00000019667	ENSGALP00000002638
ENSORLP00000010566	ENSGALP00000009200
ENSORLP00000024016	ENSGALP00000040642
ENSORLP00000000244	ENSGALP00000016547
ENSORLP00000004298	ENSGALP00000021543
ENSORLP00000009022	ENSGALP00000003847
ENSORLP00000010698	ENSGALP00000008131
ENSORLP00000011805	ENSGALP00000008131
ENSORLP00000010106	ENSGALP00000035892
ENSORLP00000020930	ENSGALP00000010428
ENSORLP00000018662	ENSGALP00000010428
ENSORLP00000004264	ENSGALP00000025899
ENSORLP00000022821	ENSGALP00000026322
ENSORLP00000021772	ENSGALP00000013796
ENSORLP00000013008	ENSGALP00000043032
ENSORLP00000010763	ENSGALP00000005571
ENSORLP00000001018	ENSGALP00000006299
ENSORLP00000013287	ENSGALP00000038075
ENSORLP00000018097	ENSGALP00000000412
ENSORLP00000008607	ENSGALP00000039341
ENSORLP00000022020	ENSGALP00000008661
ENSORLP00000005695	ENSGALP00000040060
ENSORLP00000022851	ENSGALP00000018503
ENSORLP00000010876	ENSGALP00000024768
ENSORLP00000007022	ENSGALP00000041815
ENSORLP00000010817	ENSGALP00000007547
ENSORLP00000008226	ENSGALP00000039976
ENSORLP00000014132	ENSGALP00000039976
ENSORLP00000022256	ENSGALP00000017701
ENSORLP00000019505	ENSGALP00000018224
ENSORLP00000004295	ENSGALP00000016105
ENSORLP00000002403	ENSGALP00000013191
ENSORLP00000020546	ENSGALP00000017290
ENSORLP00000013879	ENSGALP00000010863
ENSORLP00000020030	ENSGALP00000010863
ENSORLP00000012324	ENSGALP00000009806
ENSORLP00000020019	ENSGALP00000003684
ENSORLP00000013874	ENSGALP00000003684
ENSORLP00000002330	ENSGALP00000032215
ENSORLP00000014471	ENSGALP00000032215
ENSORLP00000005351	ENSGALP00000013142
ENSORLP00000018585	ENSGALP00000017678
ENSORLP00000018984	ENSGALP00000001334
ENSORLP00000006254	ENSGALP00000010979
ENSORLP00000007804	ENSGALP00000010979
ENSORLP00000012489	ENSGALP00000039924
ENSORLP00000025830	ENSGALP00000019325
ENSORLP00000010622	ENSGALP00000005090
ENSORLP00000010171	ENSGALP00000002366
ENSORLP00000003679	ENSGALP00000038404
ENSORLP00000013805	ENSGALP00000020571
ENSORLP00000021378	ENSGALP00000008574
ENSORLP00000010172	ENSGALP00000035907
ENSORLP00000024935	ENSGALP00000007976
ENSORLP00000012679	ENSGALP00000010958
ENSORLP00000011838	ENSGALP00000008112
ENSORLP00000022565	ENSGALP00000006300
ENSORLP00000015239	ENSGALP00000000973
ENSORLP00000021947	ENSGALP00000041492
ENSORLP00000011216	ENSGALP00000026677
ENSORLP00000022337	ENSGALP00000026679
ENSORLP00000022670	ENSGALP00000006782
ENSORLP00000010397	ENSGALP00000012265
ENSORLP00000024355	ENSGALP00000021655
ENSORLP00000009355	ENSGALP00000009402
ENSORLP00000008594	ENSGALP00000009612
ENSORLP00000008023	ENSGALP00000010281
ENSORLP00000022797	ENSGALP00000036082
ENSORLP00000011723	ENSGALP00000014065
ENSORLP00000009115	ENSGALP00000017619
ENSORLP00000001104	ENSGALP00000010325
ENSORLP00000002977	ENSGALP00000000810
ENSORLP00000002814	ENSGALP00000025626
ENSORLP00000018923	ENSGALP00000005576
ENSORLP00000023720	ENSGALP00000000239
ENSORLP00000012925	ENSGALP00000007948
