ENSP00000262384	ENSLOCP00000009128
ENSP00000362179	ENSLOCP00000003817
ENSP00000386616	ENSLOCP00000021014
ENSP00000354794	ENSLOCP00000007725
ENSP00000455426	ENSLOCP00000009060
ENSP00000268876	ENSLOCP00000011472
ENSP00000361900	ENSLOCP00000009147
ENSP00000295408	ENSLOCP00000020429
ENSP00000317272	ENSLOCP00000019200
ENSP00000363970	ENSLOCP00000007780
ENSP00000373518	ENSLOCP00000017232
ENSP00000362057	ENSLOCP00000018831
ENSP00000367851	ENSLOCP00000009530
ENSP00000159060	ENSLOCP00000020825
ENSP00000445366	ENSLOCP00000013773
ENSP00000281722	ENSLOCP00000010078
ENSP00000363107	ENSLOCP00000007610
ENSP00000354995	ENSLOCP00000002487
ENSP00000272286	ENSLOCP00000020267
ENSP00000260645	ENSLOCP00000020273
ENSP00000389951	ENSLOCP00000019319
ENSP00000363092	ENSLOCP00000007649
ENSP00000261464	ENSLOCP00000019175
ENSP00000454207	ENSLOCP00000012015
ENSP00000362994	ENSLOCP00000007747
ENSP00000247668	ENSLOCP00000001624
ENSP00000433623	ENSLOCP00000001262
ENSP00000249636	ENSLOCP00000017180
ENSP00000334474	ENSLOCP00000005887
ENSP00000324173	ENSLOCP00000005999
ENSP00000367623	ENSLOCP00000020663
ENSP00000297185	ENSLOCP00000014860
ENSP00000234038	ENSLOCP00000010959
ENSP00000453273	ENSLOCP00000017952
ENSP00000367815	ENSLOCP00000008038
ENSP00000326870	ENSLOCP00000010721
ENSP00000308361	ENSLOCP00000002259
ENSP00000260843	ENSLOCP00000021479
ENSP00000307259	ENSLOCP00000002287
ENSP00000308479	ENSLOCP00000002248
ENSP00000367384	ENSLOCP00000021874
ENSP00000337618	ENSLOCP00000009980
ENSP00000295461	ENSLOCP00000014738
ENSP00000311687	ENSLOCP00000012061
ENSP00000363520	ENSLOCP00000003317
ENSP00000339256	ENSLOCP00000011989
ENSP00000297954	ENSLOCP00000017354
ENSP00000414055	ENSLOCP00000012353
ENSP00000369666	ENSLOCP00000004132
ENSP00000350676	ENSLOCP00000018214
ENSP00000251363	ENSLOCP00000005255
ENSP00000271688	ENSLOCP00000007900
ENSP00000284382	ENSLOCP00000015688
ENSP00000376453	ENSLOCP00000010023
ENSP00000402697	ENSLOCP00000004830
ENSP00000355929	ENSLOCP00000020756
ENSP00000251089	ENSLOCP00000013047
ENSP00000309142	ENSLOCP00000016356
ENSP00000264903	ENSLOCP00000009007
ENSP00000377024	ENSLOCP00000012360
ENSP00000297071	ENSLOCP00000014277
ENSP00000439120	ENSLOCP00000007849
ENSP00000380252	ENSLOCP00000008437
ENSP00000257749	ENSLOCP00000020956
ENSP00000366827	ENSLOCP00000015752
ENSP00000321343	ENSLOCP00000013775
ENSP00000320431	ENSLOCP00000004341
ENSP00000268164	ENSLOCP00000017705
ENSP00000231461	ENSLOCP00000011055
ENSP00000262904	ENSLOCP00000010892
ENSP00000345571	ENSLOCP00000001142
ENSP00000368686	ENSLOCP00000007583
ENSP00000268989	ENSLOCP00000006346
ENSP00000221543	ENSLOCP00000000889
ENSP00000448182	ENSLOCP00000020036
ENSP00000320434	ENSLOCP00000008734
ENSP00000304669	ENSLOCP00000014576
ENSP00000386141	ENSLOCP00000004761
ENSP00000477059	ENSLOCP00000006533
ENSP00000416707	ENSLOCP00000019487
ENSP00000386881	ENSLOCP00000001361
ENSP00000428280	ENSLOCP00000013471
ENSP00000360475	ENSLOCP00000001954
ENSP00000222250	ENSLOCP00000002578
ENSP00000268042	ENSLOCP00000017726
ENSP00000358323	ENSLOCP00000009983
ENSP00000380759	ENSLOCP00000012953
ENSP00000359095	ENSLOCP00000021847
ENSP00000331879	ENSLOCP00000005920
ENSP00000276440	ENSLOCP00000019306
ENSP00000340677	ENSLOCP00000006448
ENSP00000272164	ENSLOCP00000011240
ENSP00000258411	ENSLOCP00000006499
ENSP00000252456	ENSLOCP00000009918
ENSP00000252809	ENSLOCP00000001682
ENSP00000252677	ENSLOCP00000017649
ENSP00000367942	ENSLOCP00000013021
ENSP00000287139	ENSLOCP00000006143
ENSP00000224605	ENSLOCP00000004694
ENSP00000282701	ENSLOCP00000008680
ENSP00000334314	ENSLOCP00000018185
ENSP00000320663	ENSLOCP00000020346
ENSP00000366267	ENSLOCP00000005737
ENSP00000377836	ENSLOCP00000018546
ENSP00000292377	ENSLOCP00000016171
ENSP00000264039	ENSLOCP00000006853
ENSP00000332886	ENSLOCP00000010912
ENSP00000338728	ENSLOCP00000019163
ENSP00000380785	ENSLOCP00000009632
ENSP00000360252	ENSLOCP00000010916
ENSP00000310015	ENSLOCP00000003607
ENSP00000370713	ENSLOCP00000015072
ENSP00000441897	ENSLOCP00000011033
ENSP00000296513	ENSLOCP00000003380
ENSP00000262803	ENSLOCP00000002426
ENSP00000399797	ENSLOCP00000012613
ENSP00000351524	ENSLOCP00000016794
ENSP00000394314	ENSLOCP00000007049
ENSP00000384725	ENSLOCP00000010539
ENSP00000253008	ENSLOCP00000006545
ENSP00000276594	ENSLOCP00000000660
ENSP00000354960	ENSLOCP00000012614
ENSP00000361929	ENSLOCP00000003234
ENSP00000252599	ENSLOCP00000010397
ENSP00000223127	ENSLOCP00000017388
ENSP00000282903	ENSLOCP00000009421
ENSP00000292807	ENSLOCP00000010161
ENSP00000352603	ENSLOCP00000016126
ENSP00000347408	ENSLOCP00000005393
ENSP00000388996	ENSLOCP00000004568
ENSP00000406472	ENSLOCP00000012552
ENSP00000265741	ENSLOCP00000012928
