ENSTNIP00000006282	ENSLOCP00000011371
ENSTNIP00000004863	ENSLOCP00000009128
ENSTNIP00000000782	ENSLOCP00000003817
ENSTNIP00000014782	ENSLOCP00000018009
ENSTNIP00000018279	ENSLOCP00000007725
ENSTNIP00000007712	ENSLOCP00000009060
ENSTNIP00000010478	ENSLOCP00000011549
ENSTNIP00000015128	ENSLOCP00000018593
ENSTNIP00000018487	ENSLOCP00000011472
ENSTNIP00000013577	ENSLOCP00000013012
ENSTNIP00000006735	ENSLOCP00000009147
ENSTNIP00000019716	ENSLOCP00000020429
ENSTNIP00000022203	ENSLOCP00000017457
ENSTNIP00000010138	ENSLOCP00000013339
ENSTNIP00000019148	ENSLOCP00000019200
ENSTNIP00000021849	ENSLOCP00000006554
ENSTNIP00000011698	ENSLOCP00000003596
ENSTNIP00000005529	ENSLOCP00000003596
ENSTNIP00000011130	ENSLOCP00000010127
ENSTNIP00000007394	ENSLOCP00000019587
ENSTNIP00000005402	ENSLOCP00000007780
ENSTNIP00000004390	ENSLOCP00000017232
ENSTNIP00000016699	ENSLOCP00000016944
ENSTNIP00000019972	ENSLOCP00000018831
ENSTNIP00000013161	ENSLOCP00000009530
ENSTNIP00000020437	ENSLOCP00000020915
ENSTNIP00000020722	ENSLOCP00000005280
ENSTNIP00000011565	ENSLOCP00000010078
ENSTNIP00000008871	ENSLOCP00000015968
ENSTNIP00000006170	ENSLOCP00000007610
ENSTNIP00000014150	ENSLOCP00000002487
ENSTNIP00000014695	ENSLOCP00000004672
ENSTNIP00000010280	ENSLOCP00000020267
ENSTNIP00000010281	ENSLOCP00000020273
ENSTNIP00000023041	ENSLOCP00000010732
ENSTNIP00000013982	ENSLOCP00000016575
ENSTNIP00000010621	ENSLOCP00000016575
ENSTNIP00000013547	ENSLOCP00000006610
ENSTNIP00000010886	ENSLOCP00000007870
ENSTNIP00000020690	ENSLOCP00000007870
ENSTNIP00000013350	ENSLOCP00000012214
