ENSCAFP00000014731	ENSORLP00000017023
ENSCAFP00000004893	ENSORLP00000018100
ENSCAFP00000004893	ENSORLP00000011872
ENSCAFP00000000536	ENSORLP00000019139
ENSCAFP00000026820	ENSORLP00000021204
ENSCAFP00000014703	ENSORLP00000017158
ENSCAFP00000027009	ENSORLP00000011600
ENSCAFP00000014101	ENSORLP00000018033
ENSCAFP00000010599	ENSORLP00000014071
ENSCAFP00000041478	ENSORLP00000024532
ENSCAFP00000011228	ENSORLP00000003595
ENSCAFP00000025792	ENSORLP00000017662
ENSCAFP00000025906	ENSORLP00000001741
ENSCAFP00000020532	ENSORLP00000002049
ENSCAFP00000019636	ENSORLP00000003123
ENSCAFP00000008815	ENSORLP00000025526
ENSCAFP00000012433	ENSORLP00000003018
ENSCAFP00000022926	ENSORLP00000016722
ENSCAFP00000015206	ENSORLP00000025748
ENSCAFP00000003668	ENSORLP00000005821
ENSCAFP00000003657	ENSORLP00000005856
ENSCAFP00000035869	ENSORLP00000007952
ENSCAFP00000041440	ENSORLP00000001368
ENSCAFP00000026713	ENSORLP00000024257
ENSCAFP00000028894	ENSORLP00000003220
ENSCAFP00000028894	ENSORLP00000020860
ENSCAFP00000010159	ENSORLP00000001290
ENSCAFP00000027741	ENSORLP00000005579
ENSCAFP00000025741	ENSORLP00000008446
ENSCAFP00000025741	ENSORLP00000002593
ENSCAFP00000023060	ENSORLP00000008437
ENSCAFP00000023060	ENSORLP00000011200
ENSCAFP00000029957	ENSORLP00000008651
ENSCAFP00000007014	ENSORLP00000015785
ENSCAFP00000027190	ENSORLP00000011714
ENSCAFP00000012528	ENSORLP00000007515
ENSCAFP00000012512	ENSORLP00000000443
ENSCAFP00000025582	ENSORLP00000023088
ENSCAFP00000019089	ENSORLP00000018127
ENSCAFP00000035150	ENSORLP00000003515
ENSCAFP00000002012	ENSORLP00000015272
ENSCAFP00000012157	ENSORLP00000010748
ENSCAFP00000012157	ENSORLP00000016221
ENSCAFP00000024137	ENSORLP00000008997
ENSCAFP00000027297	ENSORLP00000006561
ENSCAFP00000018115	ENSORLP00000003243
ENSCAFP00000018115	ENSORLP00000013178
ENSCAFP00000017392	ENSORLP00000021323
ENSCAFP00000030690	ENSORLP00000021828
ENSCAFP00000025261	ENSORLP00000020822
ENSCAFP00000011525	ENSORLP00000021812
ENSCAFP00000012786	ENSORLP00000023561
ENSCAFP00000000688	ENSORLP00000006376
ENSCAFP00000028846	ENSORLP00000019321
ENSCAFP00000004119	ENSORLP00000005874
ENSCAFP00000019894	ENSORLP00000021980
ENSCAFP00000004239	ENSORLP00000006256
ENSCAFP00000041229	ENSORLP00000022436
ENSCAFP00000039048	ENSORLP00000003775
ENSCAFP00000025974	ENSORLP00000006361
ENSCAFP00000017436	ENSORLP00000018342
ENSCAFP00000000191	ENSORLP00000018930
ENSCAFP00000016481	ENSORLP00000010509
ENSCAFP00000011055	ENSORLP00000001148
ENSCAFP00000037675	ENSORLP00000019667
ENSCAFP00000028469	ENSORLP00000010566
ENSCAFP00000005175	ENSORLP00000002272
ENSCAFP00000000678	ENSORLP00000000244
ENSCAFP00000004185	ENSORLP00000004298
ENSCAFP00000001898	ENSORLP00000009022
ENSCAFP00000034643	ENSORLP00000010106
ENSCAFP00000010553	ENSORLP00000020930
ENSCAFP00000010553	ENSORLP00000018662
ENSCAFP00000013282	ENSORLP00000004264
ENSCAFP00000001467	ENSORLP00000022821
ENSCAFP00000028666	ENSORLP00000021772
ENSCAFP00000022241	ENSORLP00000010763
ENSCAFP00000016786	ENSORLP00000013654
ENSCAFP00000016786	ENSORLP00000025491
ENSCAFP00000018033	ENSORLP00000020331
ENSCAFP00000030540	ENSORLP00000007167
ENSCAFP00000035073	ENSORLP00000001018
ENSCAFP00000013243	ENSORLP00000018097
ENSCAFP00000014218	ENSORLP00000008607
ENSCAFP00000042751	ENSORLP00000022020
ENSCAFP00000019792	ENSORLP00000005695
ENSCAFP00000022068	ENSORLP00000022851
ENSCAFP00000023624	ENSORLP00000010817
ENSCAFP00000001306	ENSORLP00000007342
ENSCAFP00000020713	ENSORLP00000011413
ENSCAFP00000013047	ENSORLP00000022256
ENSCAFP00000026382	ENSORLP00000019505
ENSCAFP00000009752	ENSORLP00000004295
ENSCAFP00000023231	ENSORLP00000014720
ENSCAFP00000027825	ENSORLP00000012324
ENSCAFP00000021439	ENSORLP00000000585
ENSCAFP00000018637	ENSORLP00000020019
ENSCAFP00000018637	ENSORLP00000013874
ENSCAFP00000004138	ENSORLP00000005351
ENSCAFP00000025317	ENSORLP00000019519
ENSCAFP00000027841	ENSORLP00000018585
ENSCAFP00000029742	ENSORLP00000018984
ENSCAFP00000025289	ENSORLP00000012489
ENSCAFP00000029577	ENSORLP00000002135
ENSCAFP00000005947	ENSORLP00000025830
ENSCAFP00000021524	ENSORLP00000010622
ENSCAFP00000019815	ENSORLP00000010171
ENSCAFP00000031903	ENSORLP00000021378
ENSCAFP00000030461	ENSORLP00000021967
ENSCAFP00000030461	ENSORLP00000008922
ENSCAFP00000036507	ENSORLP00000010172
ENSCAFP00000029719	ENSORLP00000024935
ENSCAFP00000011995	ENSORLP00000012679
ENSCAFP00000021690	ENSORLP00000016516
ENSCAFP00000022596	ENSORLP00000011838
ENSCAFP00000023182	ENSORLP00000022565
ENSCAFP00000014825	ENSORLP00000015239
ENSCAFP00000007048	ENSORLP00000021947
ENSCAFP00000017550	ENSORLP00000011216
ENSCAFP00000037940	ENSORLP00000022337
ENSCAFP00000018354	ENSORLP00000022670
ENSCAFP00000024345	ENSORLP00000010397
ENSCAFP00000010341	ENSORLP00000009355
ENSCAFP00000010262	ENSORLP00000008594
ENSCAFP00000001922	ENSORLP00000008023
ENSCAFP00000005678	ENSORLP00000022797
ENSCAFP00000000979	ENSORLP00000011723
ENSCAFP00000022990	ENSORLP00000025157
ENSCAFP00000001491	ENSORLP00000001104
ENSCAFP00000018897	ENSORLP00000002977
ENSCAFP00000017225	ENSORLP00000018923
ENSCAFP00000001025	ENSORLP00000023720
ENSCAFP00000029725	ENSORLP00000012925
ENSCAFP00000013959	ENSORLP00000000034
ENSCAFP00000013459	ENSORLP00000013671
ENSCAFP00000007656	ENSORLP00000006742
ENSCAFP00000021476	ENSORLP00000014072
ENSCAFP00000004543	ENSORLP00000009294
ENSCAFP00000004543	ENSORLP00000006181
ENSCAFP00000042734	ENSORLP00000018956
ENSCAFP00000004699	ENSORLP00000014883
ENSCAFP00000023374	ENSORLP00000017224
ENSCAFP00000023374	ENSORLP00000004455
ENSCAFP00000033673	ENSORLP00000007557
ENSCAFP00000015628	ENSORLP00000007575
ENSCAFP00000041937	ENSORLP00000020818
ENSCAFP00000018097	ENSORLP00000016131
ENSCAFP00000018097	ENSORLP00000021474
ENSCAFP00000021381	ENSORLP00000002773
ENSCAFP00000021381	ENSORLP00000018416
ENSCAFP00000003057	ENSORLP00000015721
ENSCAFP00000042913	ENSORLP00000005075
ENSCAFP00000030233	ENSORLP00000004108
ENSCAFP00000030233	ENSORLP00000005033
ENSCAFP00000041421	ENSORLP00000015324
ENSCAFP00000007210	ENSORLP00000011019
ENSCAFP00000001179	ENSORLP00000002202
ENSCAFP00000032670	ENSORLP00000003059
ENSCAFP00000005013	ENSORLP00000018136
ENSCAFP00000027366	ENSORLP00000018833
ENSCAFP00000027533	ENSORLP00000004173
ENSCAFP00000019445	ENSORLP00000004274
ENSCAFP00000042805	ENSORLP00000015164
ENSCAFP00000015347	ENSORLP00000016308
ENSCAFP00000001267	ENSORLP00000024951
ENSCAFP00000036079	ENSORLP00000009657
ENSCAFP00000036079	ENSORLP00000018316
ENSCAFP00000007816	ENSORLP00000007380
ENSCAFP00000007816	ENSORLP00000013444
ENSCAFP00000011829	ENSORLP00000012886
ENSCAFP00000011829	ENSORLP00000001311
ENSCAFP00000030086	ENSORLP00000013607
ENSCAFP00000023803	ENSORLP00000025288
ENSCAFP00000001165	ENSORLP00000001374
ENSCAFP00000016128	ENSORLP00000014802
ENSCAFP00000040632	ENSORLP00000018111
ENSCAFP00000003004	ENSORLP00000005218
ENSCAFP00000025369	ENSORLP00000013299
ENSCAFP00000029086	ENSORLP00000016364
ENSCAFP00000026399	ENSORLP00000019561
ENSCAFP00000026399	ENSORLP00000011906
ENSCAFP00000008867	ENSORLP00000002839
ENSCAFP00000021003	ENSORLP00000014848
