ENSGACP00000003450	ENSGALP00000006197
ENSGACP00000018304	ENSGALP00000003140
ENSGACP00000003045	ENSGALP00000003140
ENSGACP00000026872	ENSGALP00000007499
ENSGACP00000027282	ENSGALP00000006308
ENSGACP00000017512	ENSGALP00000024336
ENSGACP00000003444	ENSGALP00000006178
ENSGACP00000027655	ENSGALP00000002175
ENSGACP00000015229	ENSGALP00000013518
ENSGACP00000013204	ENSGALP00000003417
ENSGACP00000018412	ENSGALP00000024624
ENSGACP00000004939	ENSGALP00000006527
ENSGACP00000007033	ENSGALP00000013423
ENSGACP00000012136	ENSGALP00000042226
ENSGACP00000004873	ENSGALP00000010474
ENSGACP00000002806	ENSGALP00000005074
ENSGACP00000023126	ENSGALP00000005074
ENSGACP00000004170	ENSGALP00000041254
ENSGACP00000000014	ENSGALP00000002938
ENSGACP00000010389	ENSGALP00000013077
ENSGACP00000008196	ENSGALP00000003834
ENSGACP00000022876	ENSGALP00000010835
ENSGACP00000020510	ENSGALP00000026172
ENSGACP00000004209	ENSGALP00000025476
ENSGACP00000025947	ENSGALP00000009477
ENSGACP00000000488	ENSGALP00000015078
ENSGACP00000021405	ENSGALP00000023036
ENSGACP00000013531	ENSGALP00000005964
ENSGACP00000014122	ENSGALP00000016167
ENSGACP00000014108	ENSGALP00000016163
ENSGACP00000015493	ENSGALP00000042521
ENSGACP00000004288	ENSGALP00000042521
ENSGACP00000018787	ENSGALP00000013128
ENSGACP00000002402	ENSGALP00000017721
ENSGACP00000013540	ENSGALP00000006027
ENSGACP00000012095	ENSGALP00000006027
ENSGACP00000013490	ENSGALP00000041168
ENSGACP00000020058	ENSGALP00000029643
ENSGACP00000025883	ENSGALP00000016021
ENSGACP00000005703	ENSGALP00000018553
ENSGACP00000020860	ENSGALP00000014649
ENSGACP00000006974	ENSGALP00000014649
ENSGACP00000022648	ENSGALP00000012873
ENSGACP00000014759	ENSGALP00000006340
ENSGACP00000006839	ENSGALP00000012927
ENSGACP00000022315	ENSGALP00000012927
ENSGACP00000011561	ENSGALP00000007730
ENSGACP00000002990	ENSGALP00000007730
ENSGACP00000026579	ENSGALP00000010510
ENSGACP00000013930	ENSGALP00000010510
ENSGACP00000021969	ENSGALP00000001474
ENSGACP00000025513	ENSGALP00000010718
ENSGACP00000025845	ENSGALP00000003717
ENSGACP00000017996	ENSGALP00000009351
ENSGACP00000011089	ENSGALP00000019566
ENSGACP00000019294	ENSGALP00000006447
ENSGACP00000009755	ENSGALP00000005150
ENSGACP00000015915	ENSGALP00000007847
ENSGACP00000010900	ENSGALP00000042836
ENSGACP00000013505	ENSGALP00000016882
ENSGACP00000023103	ENSGALP00000007963
ENSGACP00000002295	ENSGALP00000005960
ENSGACP00000018209	ENSGALP00000035809
ENSGACP00000012521	ENSGALP00000006776
ENSGACP00000004603	ENSGALP00000035831
ENSGACP00000019518	ENSGALP00000004717
ENSGACP00000004546	ENSGALP00000004717
ENSGACP00000006206	ENSGALP00000000103
ENSGACP00000026389	ENSGALP00000020923
ENSGACP00000017407	ENSGALP00000023528
ENSGACP00000007063	ENSGALP00000017712
ENSGACP00000013968	ENSGALP00000004991
ENSGACP00000015931	ENSGALP00000015926
ENSGACP00000009933	ENSGALP00000016880
ENSGACP00000005141	ENSGALP00000009004
ENSGACP00000023842	ENSGALP00000009685
ENSGACP00000007915	ENSGALP00000010541
ENSGACP00000013351	ENSGALP00000010541
ENSGACP00000009128	ENSGALP00000017856
